ward,target
10203030: Ward 30,1019112027.3049655
10203031: Ward 31,108954912.49193284
10204001: Ward 1,114052922.40746173
10204002: Ward 2,2227736417.521824
10204003: Ward 3,9867077.484777424
10204004: Ward 4,2711282.7021139185
10204005: Ward 5,257851124.0525279
10204006: Ward 6,2827422.0179307368
10204007: Ward 7,746368682.5391335
10204008: Ward 8,834804.6938886917
10204009: Ward 9,56976325580.89388
10204010: Ward 10,22064652559.35826
10204011: Ward 11,25371673.88946168
10204012: Ward 12,409688938967.44165
10204013: Ward 13,553019917.7292062
10204014: Ward 14,3024682615437.612
10204015: Ward 15,3138081981259.256
10204016: Ward 16,358210589.42435324
10204017: Ward 17,238547.93156330008
10204018: Ward 18,4182906634.506909
10204019: Ward 19,25848117.06649051
10204020: Ward 20,6306299.584054942
10204021: Ward 21,35845.359544925
10204022: Ward 22,68150.45435754789
10205001: Ward 1,1739997399.268097
10205002: Ward 2,8833778752.03017
10205003: Ward 3,27535482943.914986
10205004: Ward 4,35644693748.108864
10205005: Ward 5,126478821.12011336
10205006: Ward 6,68104.65159302234
10205007: Ward 7,77394.28157196016
10205008: Ward 8,654391841.0427622
10205009: Ward 9,220290075.33276093
10205010: Ward 10,1031930162.1847975
10205011: Ward 11,86111624.67150274
10205012: Ward 12,4414366.9213643195
10205013: Ward 13,12833001.458110055
10205014: Ward 14,82671698.44611698
10205015: Ward 15,40360.57182600671
10205016: Ward 16,334838849341.8209
10205017: Ward 17,1804458413035.8062
10205018: Ward 18,34066820090.382984
10205019: Ward 19,1329629725.3921432
10205020: Ward 20,624395948.6002028
10205021: Ward 21,2726747713.1407533
10206001: Ward 1,5190838.159914236
10206002: Ward 2,27131515.878696866
10206003: Ward 3,248723304.38036567
10206004: Ward 4,12998309119.648844
10206005: Ward 5,19463181.523327082
10206006: Ward 6,9889021.230165353
10206007: Ward 7,3200619.2231398146
10206008: Ward 8,30235548.341405883
10206009: Ward 9,42036411.39062305
10206010: Ward 10,913527995442.1112
10206011: Ward 11,12431250.90455712
10206012: Ward 12,236597427.33145896
10304001: Ward 1,519017.66534263024
10304002: Ward 2,27036990.275912832
10304003: Ward 3,21347844.250168473
10304004: Ward 4,357699.0893312823
10304005: Ward 5,470428392.0990817
10301001: Ward 1,93059166.02839684
10301002: Ward 2,1918653808.0308912
10301003: Ward 3,61665172.03452876
10301004: Ward 4,1304874.78707457
10301005: Ward 5,16417815.611253949
10301006: Ward 6,1013431446.3995619
10301007: Ward 7,1385412929.7024975
10301008: Ward 8,53464636.15276344
10301009: Ward 9,30968772307.084614
10301010: Ward 10,145533840.13467988
10301011: Ward 11,477397551.51500356
10301012: Ward 12,81959544511.51091
10301013: Ward 13,204883560.90581575
10302001: Ward 1,210471354.40075368
10302002: Ward 2,387417.95992764825
10302003: Ward 3,14438.308537311776
10302004: Ward 4,8347004.682826819
10302005: Ward 5,11784821740.870657
10302006: Ward 6,397297821.79552174
10302007: Ward 7,17426.432168106825
10302008: Ward 8,22273097.22358503
10302009: Ward 9,65614.30778998992
10302010: Ward 10,1047151.8715589917
10302011: Ward 11,3727797.000124716
10302012: Ward 12,9278309804.488554
10302013: Ward 13,3774.316549795036
10303001: Ward 1,10016126.083182707
10303002: Ward 2,10497677.799134463
10303003: Ward 3,2743143674.4022474
10303004: Ward 4,114572.24974154841
10303005: Ward 5,184620.75224293425
10401001: Ward 1,5048827.253764547
10401002: Ward 2,76812414.3139299
10401003: Ward 3,18914810788.96641
10401004: Ward 4,6236498.606922068
10402001: Ward 1,116404.87016712566
10402002: Ward 2,23244818.915210802
10402003: Ward 3,12849.059415794918
10402004: Ward 4,144912030.8825869
10402005: Ward 5,8293847.539172944
10402006: Ward 6,12396289.73866989
10402007: Ward 7,478822.5004502299
10402008: Ward 8,3564770392.101272
10403001: Ward 1,82526505371.62659
10403002: Ward 2,59633121624.6827
10403003: Ward 3,22027957623.75381
10403004: Ward 4,94113.13602226571
10403005: Ward 5,12094.2494593365
10403006: Ward 6,20563.342049482675
10403007: Ward 7,358623.6649733657
10403008: Ward 8,110886.53055780141
10403009: Ward 9,1882131390.2089195
10403010: Ward 10,2412.481200178884
10403011: Ward 11,1238922.3930330398
10403012: Ward 12,2022954518.6682737
10403013: Ward 13,9287423.778751971
10403014: Ward 14,31908287.49346702
10404001: Ward 1,1260745.1123600374
10404002: Ward 2,25765.79822752666
10404003: Ward 3,5248.644067573963
10404004: Ward 4,736693.2696966192
10404005: Ward 5,46212.340815991796
10404006: Ward 6,408383058.8934409
10404007: Ward 7,714473137.1504143
10404008: Ward 8,538797710.9623668
10404009: Ward 9,56935922448.92943
10404010: Ward 10,429318474599.3509
10404011: Ward 11,446067714.4039486
10404012: Ward 12,8362443513.1858225
10404013: Ward 13,7311370036.300772
10404014: Ward 14,43865994.416378394
10404015: Ward 15,102366438381.34254
10404016: Ward 16,36845807.60177366
10404017: Ward 17,1365671742.5582187
10404018: Ward 18,2906.184608483643
10404019: Ward 19,68496.57288081187
10404020: Ward 20,1621144914.5034752
10404021: Ward 21,103874556395.6367
10404022: Ward 22,920847.7979115115
10404023: Ward 23,1783471.9429540238
10404024: Ward 24,303081918.0688912
10404025: Ward 25,131139451.07329562
10405001: Ward 1,836600.8859276671
10405002: Ward 2,172578.97855986975
10405003: Ward 3,1124212.7777962629
10405004: Ward 4,1389601395.539929
10405005: Ward 5,1380347374.027851
10405006: Ward 6,376088389.5016656
10405007: Ward 7,2190777.8180793263
10405008: Ward 8,14232767271.359821
10405009: Ward 9,357967340653.2243
10405010: Ward 10,31236079869.129974
10405011: Ward 11,172105994.50677684
10405012: Ward 12,110277853.60150482
10405013: Ward 13,558624817.1805562
10407001: Ward 1,48889402.35516691
10407002: Ward 2,53886.38525887497
10407003: Ward 3,123684845.75934288
10407004: Ward 4,160159628.44295737
10407005: Ward 5,6915945647.792674
10407006: Ward 6,68032109103.19897
10407007: Ward 7,46997412.38332936
10408001: Ward 1,36097747.168872505
10408002: Ward 2,140105.04651047545
10408003: Ward 3,1647485342.2004337
10408004: Ward 4,1171439149.3787835
10408005: Ward 5,703076.257849261
10408006: Ward 6,427323335.6520653
10408007: Ward 7,27406918437.04021
10408008: Ward 8,500466153.39326936
10408009: Ward 9,188533.42650711216
10408010: Ward 10,24673.796650509037
10501001: Ward 1,431886169.9795582
10501002: Ward 2,51574.07431066423
10501003: Ward 3,7797.274772229453
10501004: Ward 4,2816494.977488466
10502001: Ward 1,89710884.91965304
10502002: Ward 2,689166.0073823293
10502003: Ward 3,11966487346.840149
10502004: Ward 4,63464816.10230816
10503001: Ward 1,74081214748.72601
10503002: Ward 2,952054.5687538523
10503003: Ward 3,16173714834.8582
10503004: Ward 4,30606157.387627862
10503005: Ward 5,5542199822.753673
10503006: Ward 6,456125990335.6343
10503007: Ward 7,2166006863.5198936
19100001: Ward 1,14968.486035487838
19100002: Ward 2,123158.93784330977
19100003: Ward 3,47278.585447926846
19100004: Ward 4,967534.0557448799
19100005: Ward 5,35230.74449754901
19100006: Ward 6,156120980.70398462
19100007: Ward 7,4085743.866252725
19100008: Ward 8,61723.81132221172
19100009: Ward 9,14084117.069173388
19100010: Ward 10,5480275.386159824
19100011: Ward 11,4479702.756789998
19100012: Ward 12,53861862.36499498
19100013: Ward 13,431039154.7951378
19100014: Ward 14,2136482.7503985623
19100015: Ward 15,12129.149097890391
19100016: Ward 16,111805749.0748011
19100017: Ward 17,9327819.561603641
19100018: Ward 18,149277504213.56784
19100019: Ward 19,177741754.2245468
19100020: Ward 20,4614631939.144009
19100021: Ward 21,9492.434365699548
19100022: Ward 22,53407805.74218388
19100023: Ward 23,13538.423047510732
19100024: Ward 24,358746463.9053153
19100025: Ward 25,294402904.27868384
19100026: Ward 26,12348086.814149965
19100027: Ward 27,117687.94449128478
19100028: Ward 28,133401709.2403909
19100029: Ward 29,202056349.01489422
19100030: Ward 30,29070690.026388343
19100031: Ward 31,85376724.86735982
19100032: Ward 32,60890805.94572321
19100033: Ward 33,198439234030.2691
19100034: Ward 34,523893365848.13165
19100035: Ward 35,37684181448.55237
19100036: Ward 36,241881212721.33646
19100037: Ward 37,326950456586.55725
19100038: Ward 38,16865336861.810621
19100039: Ward 39,308306168334.6644
19100040: Ward 40,34864268240.94229
19100041: Ward 41,21784220508.553818
19100042: Ward 42,7468919390.318645
19100043: Ward 43,1454155.715004739
19100044: Ward 44,1800418830.4736738
19100045: Ward 45,2765196565.8523006
19100046: Ward 46,76897290.61929512
19100047: Ward 47,19576002819.624607
19100048: Ward 48,1329254.5869124373
19100049: Ward 49,82867573.620082
19100050: Ward 50,608064512.5609782
19100051: Ward 51,22356504461.723267
19100052: Ward 52,267137270907.31274
19100053: Ward 53,424356.77015257184
19100054: Ward 54,19846.20826093723
19100055: Ward 55,1469182.0416597985
19100056: Ward 56,5988502.4550039265
19100057: Ward 57,6326516.015253041
19100058: Ward 58,57830.795186191186
19100059: Ward 59,339437.0943595731
19100060: Ward 60,326633.5782372565
19100061: Ward 61,1485818.1730615299
19100062: Ward 62,21822.070643419647
19100063: Ward 63,142656.64570070893
19100064: Ward 64,43305.03906672462
19100065: Ward 65,27903506.505016245
19100066: Ward 66,87238432.63426249
19100067: Ward 67,2373927551.528414
19100068: Ward 68,280679684.23602945
19100069: Ward 69,84081943.11982812
19100070: Ward 70,10874.306090797196
19100071: Ward 71,120136.78354932625
19100072: Ward 72,923472.2383190275
19100073: Ward 73,54099.6425125279
19100074: Ward 74,23706870.47334043
19100075: Ward 75,182877472.8568716
19100076: Ward 76,17066446.3619036
19100077: Ward 77,115038.7110711038
19100078: Ward 78,7681762.1409454495
19100079: Ward 79,69924405.8643123
19100080: Ward 80,85005500397.55244
19100081: Ward 81,5157952.788262039
19100082: Ward 82,282723120.6232863
19100083: Ward 83,12966740.772507655
19100084: Ward 84,59764.963906921614
19100085: Ward 85,100791606.29275647
19100086: Ward 86,598747391.3850011
19100087: Ward 87,1073925141229.8762
19100088: Ward 88,3449737774.968995
19100089: Ward 89,386621586808.01794
19100090: Ward 90,611012079746.1665
19100091: Ward 91,1232872613988.0725
19100092: Ward 92,6123461263.852609
19100093: Ward 93,1085758547383.4049
19100094: Ward 94,5367634110.3157425
19100095: Ward 95,629563565133.6682
19100096: Ward 96,40033268926.855225
19100097: Ward 97,49397544442.8341
19100098: Ward 98,569663238195.7803
19100099: Ward 99,6176122565.876367
19100100: Ward 100,1258324.0176725385
19100101: Ward 101,60273415552.549995
19100102: Ward 102,46042.25452946234
19100103: Ward 103,15307.75476540719
19100104: Ward 104,615166814.716702
19100105: Ward 105,2604618.4653830524
19100106: Ward 106,21237235975.92287
19100107: Ward 107,9979.682656250847
19100108: Ward 108,149288528077.95474
19100109: Ward 109,749360590.9161088
19100110: Ward 110,64906954.32185309
19100111: Ward 111,2925806640.5758834
